uid,shard,migration_ts,migrated_status
D6joAHhcvYQQOQRVHKipvnZumuK2,1,1679392413929,success
9oBMYecOQwZVLn3BCAyFeBoTEud2,1,1679392426625,success
NS5NE352Nbhrk9Db9Pnhaq04pFl2,1,1679392436066,success
FMTC5mf0KAMksS694YU1tGQ09Or1,1,1679392459591,success
Zjj4ISKkJMVlxC8gmhJQi6vj04w1,1,1679392476321,success
xKrjCPR7fxYVcAZGd9uJfRZdIz42,1,1679392480545,success
A98EbHU8hwauI50cwoVoA9WxdZ22,1,1679392508845,success
tKMrXh2HV3TheGhEhTmRKIDKHj72,1,1679392525120,success
yZmQjHNAE0NWw6U9Yg747FlJOGd2,1,1679392565471,success
prNYEYf0wUg8zDDOSJO7A8uft0j2,1,1679392579236,success
SNumyiA9TKd0EwvJDnzLQc8bJdx1,1,1679392628496,success
ngF9vwYg5OdQXYJZcHVSt6jSYzz1,1,1679392631005,success
caDWCv7xHKZ4vvHDRga8wrBPyOd2,1,1679392631509,success
zo7xBTD55jVjP5c4XcNhxwh6gi13,1,1679392638726,success
2YhCejwWwsSMJ7TL9wTpojB3WtP2,1,1679392736062,success
bxIbbSMQkSYdx687FBgshHAmhU72,1,1679392777606,success
b7Oc6Jt7wwXSQdmE9msM8IWDSfO2,1,1679392801143,success
rxKSnYU0CbTSe8jHNM8i4Bq928z1,1,1679392817806,success
WvLO7NwtsTZqNu46Vn5hG9dTPY92,1,1679392827315,success
oEYG0UbDAdUw6qmULZ7yRoKlaO62,1,1679392879734,success
xytUYBb8T5My1N5omxdHLNorfWv1,1,1679392910133,success
WgHslirvfIVsDj3UKo1s8ChUQz93,1,1679392975113,success
JjapMBcyUnc2n9uQPV3E8NULI8R2,1,1679392995363,success
OWzK7KVxvlQBEbEgmOPRjtFXISi1,1,1679393025355,success
FmEvf3Z4NXN98K1vgjh5xROjzZ92,1,1679393039176,success
v73Ny6ui0TegsPDUVrAT3fyNwBI2,1,1679393057115,success
WbnmM9rXyfRfqFtA49bSHuqeszF3,1,1679393061309,success
4fdL5bVD3vWXWH13kXyOmMCzKr52,1,1679393064352,success
E9H88kzTA6PjXkUnnO0RTfDx7432,1,1679393085758,success
E6TOye2ppJYNkNbkQbn4ieEePDz2,1,1679393108097,success
EMYHeC21lLblUIDbOrBl0Uxs7te2,1,1679393202451,success
akMzkUsaOHTMXAVJEiEKScNJAzn1,1,1679393216526,success
X2sA6617xnfi6l8zF0iyBC7Chsf1,1,1679393243719,success
zeB3oJRfYDWDG1QgJIA6IKiqGL23,1,1679393255257,success
z8DOZDCxHrP4Jz9r6UE1qwPXnmw1,1,1679393265969,success
gAmtuXCn1xWkMu0LFy5M8Oim26w1,1,1679393296960,success
LcSVmozJYPOA88DQSiImdYMLJW83,1,1679393323242,success
JJSjUfETMyMHyjsR3FJByjdS1FD3,1,1679393443552,success
mgk45K0igJS8eyqECQpPlkaL3pq2,1,1679393448955,success
PYSvU0MJBvbqbxmAZu8SxtNEtOz1,1,1679393469364,success
QxVDHRp7nld769QSYcLTV8Wj8RV2,1,1679393470684,success
WHfT1aSplATNMZD8mcgvdMy9aIp2,1,1679393482590,success
LBbC0rPWPJe2BOLZ08TOLJzySSf2,1,1679393487774,success
jImDdc4FvyeWqTnawneaKXOSLrd2,1,1679390341720,success
Mxlwhd4CWKcTE8ZsunbM7LJKmPI2,1,1679390349292,success
HrqPBxM0FFPnp9DUqt0fm6teF043,1,1679390352058,success
XUYQWajsJKeejuAjkzXn5GalnDD3,1,1679390437197,success
jz9LoCc6Cmagr51QqDpkgbueL822,1,1679390441479,success
C5b30Bb8JNMosf7N3A2FAhsk8cO2,1,1679390555434,success
AEUKunpfToWxJusF5bkfONwxz2H3,1,1679390591502,success
AU7uaCPfPVbzQMM8d8wOJL84YN03,1,1679390734707,success
